[2016-04-19 15:12:32,556][INFO][com.zaxxer.hikari.pool.HikariPool] HikariPool-0 - is closing down.
[2016-04-19 15:12:32,570][INFO][dotted-line.core] #'dotted-line.db.core/*db* stopped
[2016-04-19 15:13:14,900][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2016-04-19 15:13:16,308][INFO][com.zaxxer.hikari.HikariDataSource] HikariPool-0 - is starting.
[2016-04-19 15:13:17,244][INFO][luminus.http-server] starting HTTP server on port 3000
[2016-04-19 15:13:17,384][INFO][org.xnio] XNIO version 3.4.0.Beta1
[2016-04-19 15:13:17,673][INFO][org.xnio.nio] XNIO NIO Implementation Version 3.4.0.Beta1
[2016-04-19 15:13:17,916][INFO][org.projectodd.wunderboss.web.Web] Registered web context /
[2016-04-19 15:13:17,926][INFO][luminus.repl-server] starting nREPL server on port 7000
[2016-04-19 15:13:17,965][INFO][dotted-line.core] #'dotted-line.config/env started
[2016-04-19 15:13:17,967][INFO][dotted-line.core] #'dotted-line.db.core/*db* started
[2016-04-19 15:13:17,967][INFO][dotted-line.core] #'dotted-line.core/http-server started
[2016-04-19 15:13:17,968][INFO][dotted-line.core] #'dotted-line.core/repl-server started
[2016-04-19 15:13:17,969][INFO][dotted-line.env] 
-=[dotted-line started successfully using the development profile]=-
[2016-04-19 15:18:04,821][INFO][luminus.repl-server] nREPL server stopped
[2016-04-19 15:18:04,828][DEBUG][org.projectodd.wunderboss.WunderBoss] Returning existing component for org.projectodd.wunderboss.web.Web:-1645144552, ignoring options.
[2016-04-19 15:18:04,842][INFO][luminus.http-server] HTTP server stopped
[2016-04-19 15:18:04,843][INFO][com.zaxxer.hikari.pool.HikariPool] HikariPool-0 - is closing down.
[2016-04-19 15:18:04,849][INFO][dotted-line.core] #'dotted-line.core/repl-server stopped
[2016-04-19 15:18:04,850][INFO][dotted-line.core] #'dotted-line.core/http-server stopped
[2016-04-19 15:18:04,850][INFO][dotted-line.core] #'dotted-line.db.core/*db* stopped
[2016-04-19 16:46:15,001][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2016-04-19 16:46:16,525][INFO][com.zaxxer.hikari.HikariDataSource] HikariPool-0 - is starting.
[2016-04-19 16:46:17,300][INFO][luminus.http-server] starting HTTP server on port 3000
[2016-04-19 16:46:17,386][INFO][org.xnio] XNIO version 3.4.0.Beta1
[2016-04-19 16:46:17,506][INFO][org.xnio.nio] XNIO NIO Implementation Version 3.4.0.Beta1
[2016-04-19 16:46:17,622][INFO][org.projectodd.wunderboss.web.Web] Registered web context /
[2016-04-19 16:46:17,634][INFO][luminus.repl-server] starting nREPL server on port 7000
[2016-04-19 16:46:17,670][INFO][dotted-line.core] #'dotted-line.config/env started
[2016-04-19 16:46:17,671][INFO][dotted-line.core] #'dotted-line.db.core/*db* started
[2016-04-19 16:46:17,672][INFO][dotted-line.core] #'dotted-line.core/http-server started
